Subject,Object
http://www.drugtargetontology.org/dto/DTO_02400068,http://www.drugtargetontology.org/dto/DTO_02400002
http://purl.obolibrary.org/obo/DOID_2717,http://purl.obolibrary.org/obo/DOID_0050737
http://purl.obolibrary.org/obo/DOID_11665,http://purl.obolibrary.org/obo/DOID_0080014
http://www.drugtargetontology.org/dto/DTO_01400419,http://www.drugtargetontology.org/dto/DTO_01400351
http://www.drugtargetontology.org/dto/DTO_03200250,http://www.drugtargetontology.org/dto/DTO_03400324
http://www.drugtargetontology.org/dto/DTO_01300394,http://www.drugtargetontology.org/dto/DTO_01300341
http://www.drugtargetontology.org/dto/DTO_03100058,http://www.drugtargetontology.org/dto/DTO_03300136
http://www.drugtargetontology.org/dto/DTO_09000093,http://purl.obolibrary.org/obo/CHEBI_16670
http://www.drugtargetontology.org/dto/DTO_02400029,http://www.drugtargetontology.org/dto/DTO_02400004
http://www.drugtargetontology.org/dto/DTO_61000218,http://www.drugtargetontology.org/dto/DTO_61000000
http://www.drugtargetontology.org/dto/DTO_01200307,http://www.drugtargetontology.org/dto/DTO_01400371
http://www.drugtargetontology.org/dto/DTO_01100248,http://www.drugtargetontology.org/dto/DTO_01300327
http://www.drugtargetontology.org/dto/DTO_01100065,http://www.drugtargetontology.org/dto/DTO_01300339
http://www.drugtargetontology.org/dto/DTO_03100583,http://www.drugtargetontology.org/dto/DTO_03391041
http://www.drugtargetontology.org/dto/DTO_03100380,http://www.drugtargetontology.org/dto/DTO_03391009
http://purl.obolibrary.org/obo/DOID_0060250,http://purl.obolibrary.org/obo/DOID_0060249
http://purl.obolibrary.org/obo/DOID_0060256,http://purl.obolibrary.org/obo/DOID_10123
http://purl.obolibrary.org/obo/DOID_0060254,http://purl.obolibrary.org/obo/DOID_225
http://purl.obolibrary.org/obo/DOID_0060255,http://purl.obolibrary.org/obo/DOID_66
http://purl.obolibrary.org/obo/DOID_0060259,http://purl.obolibrary.org/obo/DOID_0080015
http://www.drugtargetontology.org/dto/DTO_02200791,http://www.drugtargetontology.org/dto/DTO_02400014
http://www.drugtargetontology.org/dto/DTO_03400132,http://www.drugtargetontology.org/dto/DTO_03400106
http://www.drugtargetontology.org/dto/DTO_02300048,http://www.drugtargetontology.org/dto/DTO_02300002
http://www.drugtargetontology.org/dto/DTO_01200343,http://www.drugtargetontology.org/dto/DTO_01400327
http://www.drugtargetontology.org/dto/DTO_03200024,http://www.drugtargetontology.org/dto/DTO_03400123
http://purl.obolibrary.org/obo/DOID_3717,http://purl.obolibrary.org/obo/DOID_5517|http://purl.obolibrary.org/obo/DOID_299
http://www.drugtargetontology.org/dto/DTO_02100009,http://www.drugtargetontology.org/dto/DTO_02302003
http://www.drugtargetontology.org/dto/DTO_02200025,http://www.drugtargetontology.org/dto/DTO_02400020
http://www.drugtargetontology.org/dto/DTO_02200235,http://www.drugtargetontology.org/dto/DTO_02400002
http://www.drugtargetontology.org/dto/DTO_02200223,http://www.drugtargetontology.org/dto/DTO_02400059
http://www.drugtargetontology.org/dto/DTO_62000042,http://purl.obolibrary.org/obo/CHEBI_30006
http://www.drugtargetontology.org/dto/DTO_02100739,http://www.drugtargetontology.org/dto/DTO_02300079
http://www.drugtargetontology.org/dto/DTO_01100012,http://www.drugtargetontology.org/dto/DTO_01300496
http://www.drugtargetontology.org/dto/DTO_02200193,http://www.drugtargetontology.org/dto/DTO_02400002
http://www.drugtargetontology.org/dto/DTO_03200194,http://www.drugtargetontology.org/dto/DTO_03400133
http://purl.obolibrary.org/obo/BTO_0004253,http://www.drugtargetontology.org/dto/DTO_00000018|http://purl.obolibrary.org/obo/BTO_0001243
http://www.drugtargetontology.org/dto/DTO_02100134,http://www.drugtargetontology.org/dto/DTO_02302008
http://www.drugtargetontology.org/dto/DTO_02400026,http://www.drugtargetontology.org/dto/DTO_02400002
http://purl.obolibrary.org/obo/BTO_0003021,http://www.drugtargetontology.org/dto/DTO_00000018|http://purl.obolibrary.org/obo/BTO_0002206
http://www.drugtargetontology.org/dto/DTO_03200400,http://www.drugtargetontology.org/dto/DTO_03400102
http://purl.obolibrary.org/obo/BTO_0000849,http://www.drugtargetontology.org/dto/DTO_00000018
